Latitude,Longitude,count,Land Use,Location Setting,Met Site Type,PM10_null,PM25_null,PMC_null,ISLAT,ISLON
36.16976,-115.263038,1096,Residential,Suburban,,0.2737226277372263,0.0,100.0,True,True
40.496392,-112.036298,1096,Residential,Suburban,,4.288321167883212,0.18248175182481752,100.0,True,True
40.736389,-111.872222,1096,Residential,Suburban,ON-SITE MET EQUIP,0.5474452554744526,0.0,6.478102189781023,True,True
40.777145,-111.945849,1096,Residential,Urban and center city,,1.4598540145985401,0.0,100.0,True,True
32.884761,-112.03705,1096,Agricultural,Rural,,1.3686131386861315,3.102189781021898,100.0,True,True
38.921847,-77.013178,1096,Commercial,Urban and center city,OTHER AIRS SITE,1.0036496350364963,1.824817518248175,100.0,True,True
36.209286,-121.126371,1096,Residential,Urban and center city,ON-SITE MET EQUIP,3.923357664233577,2.3722627737226274,100.0,True,True
36.173415,-115.332728,1096,Residential,Suburban,ON-SITE MET EQUIP,2.0072992700729926,0.0,100.0,True,True
40.294178,-110.009732,1096,Residential,Suburban,,2.0985401459854014,0.9124087591240875,100.0,True,True
36.048705,-115.052942,1096,Residential,Suburban,ON-SITE MET EQUIP,0.2737226277372263,0.18248175182481752,100.0,True,True
46.002602,-112.501247,1095,Residential,Urban and center city,,2.8310502283105023,2.5570776255707766,100.0,True,True
47.663962,-117.257654,1095,Residential,Suburban,,2.6484018264840183,1.9178082191780823,100.0,True,True
43.74561,-101.941218,1095,Agricultural,Rural,,2.73972602739726,1.461187214611872,68.76712328767123,True,True
35.642943,-117.715066,1095,Desert,Urban and center city,,1.552511415525114,2.4657534246575343,100.0,True,True
35.987908,-115.148885,1095,Residential,Suburban,,0.365296803652968,0.091324200913242,100.0,True,True
48.391545,-115.553309,1094,Commercial,Urban and center city,,2.1023765996343693,0.7312614259597806,100.0,True,True
43.46611,-88.62111,1094,Agricultural,Rural,ON-SITE MET EQUIP,0.0,0.4570383912248629,100.0,True,True
36.106389,-115.253333,1094,Residential,Suburban,ON-SITE MET EQUIP,0.2742230347349177,0.0,100.0,True,True
47.048537,-109.455315,1094,Commercial,Rural,,0.09140767824497258,2.9250457038391224,100.0,True,True
44.76249,-91.41445,1094,Industrial,Suburban,,0.0,3.7477148080438756,100.0,True,True
46.842181,-114.021499,1094,Residential,Suburban,,0.8226691042047531,1.3711151736745886,100.0,True,True
35.969848,-114.835007,1093,Residential,Suburban,,0.18298261665141813,0.09149130832570906,100.0,True,True
36.163962,-115.11393,1093,Residential,Urban and center city,ON-SITE MET EQUIP,0.4574565416285453,0.2744739249771272,100.0,True,True
42.93257,-87.93434,1093,Mobile,Urban and center city,,2.2872827081427265,0.36596523330283626,100.0,True,True
44.348604,-96.807299,1093,Agricultural,Rural,,4.84903934126258,4.300091491308326,100.0,True,True
36.214465,-115.091437,1093,Residential,Suburban,ON-SITE MET EQUIP,0.4574565416285453,0.09149130832570906,100.0,True,True
36.843425,-121.3621,1093,Residential,Rural,ON-SITE MET EQUIP,2.3787740164684354,1.8298261665141813,100.0,True,True
36.004733,-115.268517,1093,Residential,Suburban,,0.2744739249771272,0.0,100.0,True,True
40.341389,-111.713611,1092,Residential,Suburban,ON-SITE MET EQUIP,2.380952380952381,1.6483516483516485,100.0,True,True
47.342423,-102.645864,1092,Agricultural,Rural,ON-SITE MET EQUIP,4.212454212454213,2.838827838827839,100.0,True,True
32.322661,-111.038389,1092,Residential,Suburban,,0.7326007326007326,1.0073260073260073,100.0,True,True
36.11094,-80.224501,1092,Residential,Urban and center city,,0.0,0.18315018315018314,100.0,True,True
36.109006,-79.802314,1092,Residential,Urban and center city,,1.3736263736263736,3.3882783882783882,100.0,True,True
36.270592,-115.238282,1091,Residential,Urban and center city,ON-SITE MET EQUIP,0.27497708524289644,0.0,100.0,True,True
35.785665,-115.357087,1091,Desert,Rural,ON-SITE MET EQUIP,0.0,0.09165902841429881,100.0,True,True
46.682299,-68.016195,1090,Commercial,Urban and center city,,4.3119266055045875,3.0275229357798166,100.0,True,True
37.642165,-120.994212,1090,Commercial,Urban and center city,,2.5688073394495414,4.128440366972478,100.0,True,True
47.8679,-104.676944,1090,Agricultural,Rural,,0.0,3.302752293577982,100.0,True,True
41.771444,-72.679923,1090,Commercial,Urban and center city,ON-SITE MET EQUIP,0.0,0.27522935779816515,100.0,True,True
41.477011,-81.682383,1090,Residential,Urban and center city,OTHER AIRS SITE,1.0091743119266057,0.45871559633027525,100.0,True,True
43.0733,-89.4358,1090,Residential,Urban and center city,,0.09174311926605505,0.3669724770642202,100.0,True,True
36.487823,-117.871036,1089,Residential,Rural,,1.1019283746556474,2.1120293847566574,100.0,True,True
41.170833,-73.194722,1089,Residential,Urban and center city,,0.0,0.3673094582185491,100.0,True,True
